old_name,new_name
DYto2L-4Jets_MLL-50to120_HT-70to100_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-70to100-MLL-50to120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-50to120_HT-100to400_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-100to400-MLL-50to120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-50to120_HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-400to800-MLL-50to120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-50to120_HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-800to1500-MLL-50to120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-50to120_HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-1500to2500-MLL-50to120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-50to120_HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-2500-MLL-50to120_TuneCP5_13p6TeV_madgraphMLM-pythia8
blank,blank
DYto2L-4Jets_MLL-120_HT-40to70_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-40to70-MLL-120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-120_HT-70to100_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-70to100-MLL-120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-120_HT-100to400_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-100to400-MLL-120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-120_HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-400to800-MLL-120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-120_HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-800to1500-MLL-120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-120_HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-1500to2500-MLL-120_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYto2L-4Jets_MLL-120_HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYto2L-4Jets_Bin-HT-2500-MLL-120_TuneCP5_13p6TeV_madgraphMLM-pythia8
blank,blank
DYto2L-2Jets_MLL-50_PTLL-40to100_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-1J-MLL-50-PTLL-40to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYto2L-2Jets_MLL-50_PTLL-100to200_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-1J-MLL-50-PTLL-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYto2L-2Jets_MLL-50_PTLL-200to400_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-1J-MLL-50-PTLL-200to400_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYto2L-2Jets_MLL-50_PTLL-400to600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-1J-MLL-50-PTLL-400to600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYto2L-2Jets_MLL-50_PTLL-600_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-1J-MLL-50-PTLL-600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
blank,blank
DYto2L-2Jets_MLL-50_PTLL-40to100_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-2J-MLL-50-PTLL-40to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYto2L-2Jets_MLL-50_PTLL-100to200_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-2J-MLL-50-PTLL-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYto2L-2Jets_MLL-50_PTLL-200to400_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-2J-MLL-50-PTLL-200to400_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYto2L-2Jets_MLL-50_PTLL-400to600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-2J-MLL-50-PTLL-400to600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYto2L-2Jets_MLL-50_PTLL-600_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYto2L-2Jets_Bin-2J-MLL-50-PTLL-600_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
blank,blank
DYGto2LG-1Jets_MLL-4to50_PTG-10to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYGto2LG-1Jets_Bin-MLL-4to50-PTG-10to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYGto2LG-1Jets_MLL-4to50_PTG-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYGto2LG-1Jets_Bin-MLL-4to50-PTG-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYGto2LG-1Jets_MLL-4to50_PTG-200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYGto2LG-1Jets_Bin-MLL-4to50-PTG-200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
blank,blank
DYGto2LG-1Jets_MLL-50_PTG-10to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYGto2LG-1Jets_Bin-MLL-50-PTG-10to100_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYGto2LG-1Jets_MLL-50_PTG-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYGto2LG-1Jets_Bin-MLL-50-PTG-100to200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
DYGto2LG-1Jets_MLL-50_PTG-200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8,DYGto2LG-1Jets_Bin-MLL-50-PTG-200_TuneCP5_13p6TeV_amcatnloFXFX-pythia8
blank,blank
DYBto2LB-4Jets_MLL-50-HT-40to100_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-50-HT-40to100_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYBto2LB-4Jets_MLL-50-HT-100to400_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-50-HT-100to400_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYBto2LB-4Jets_MLL-50-HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-50-HT-400to800_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYBto2LB-4Jets_MLL-50-HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-50-HT-800to1500_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYBto2LB-4Jets_MLL-50-HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-50-HT-1500to2500_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYBto2LB-4Jets_MLL-50-HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-50-HT-2500_TuneCP5_13p6TeV_madgraphMLM-pythia8
blank,blank
DYBto2LB-4Jets_MLL-120-HT-40to100_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-120-HT-40to100_TuneCP5_13p6TeV_madgraphMLM-pythia8
DYBto2LB-4Jets_MLL-120-HT-100to400_TuneCP5_13p6TeV_madgraphMLM-pythia8,DYBto2LB-4Jets_Bin-MLL-120-HT-100to400_TuneCP5_13p6TeV_madgraphMLM-pythia8
